,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_20,Q1_21,Q1_22,Q1_23,Q1_24,Q1_25,Q1_26,Q1_27,Q1_28,Q1_29,Q1_30
Q1_1,1.0,0.4187422922197195,0.4040588381845935,0.2972441236201218,0.22748227737157273,0.6158898596726778,0.2882612698973425,0.35134782307083623,0.43998813898697214,0.19827274344623164,0.5628410811472345,0.33243113242865313,0.33810781015496943,0.3293389702981898,0.233939973354511,0.4291882027171754,0.28026263420474845,0.35126258342519573,0.38211601438857556,0.28681016416053373,0.34662034511206136,0.24949804147401805,0.35295025505238103,0.3421155172941483,0.20897515733985228,0.35568523910276745,0.3037083258191723,0.15510741698350686,0.325435438664303,-0.012754209982223551
Q1_2,0.4187422922197195,1.0,0.38101816475874395,0.4036129988304592,0.21468284684323438,0.4472041382752362,0.5404585410474744,0.37639908028565894,0.4706191851635507,0.30099002386623364,0.27549949643699956,0.4188924349085473,0.44576045837718836,0.45269902874238216,0.3266335664079085,0.3713262510078389,0.3606053101702314,0.3941248705088899,0.28388472957719857,0.29044328906072087,0.3927295733369507,0.2500782068649856,0.347169691497304,0.26142957589597127,0.2535703053070717,0.33670202795863324,0.37156541343209476,0.23722714475910298,0.33797645921218605,-0.00035104060918356026
Q1_3,0.4040588381845935,0.38101816475874395,1.0,0.4439361546748512,0.19169591965679394,0.364901813067116,0.36298638253370885,0.6252518185333541,0.40633171213456415,0.25887531770974115,0.3063844573007762,0.3498079956939646,0.3838543149399143,0.3340452975353013,0.3898731696842696,0.3795231754855776,0.31083982570914126,0.5117201220241702,0.3505302497494025,0.43887481727780087,0.35919078175894986,0.2246719296089586,0.410379453827595,0.3328444713431048,0.24955163838941197,0.370117650088347,0.35699296430211735,0.26381256766115163,0.3404794761963372,-0.06351493259422505
Q1_4,0.2972441236201218,0.4036129988304592,0.4439361546748512,1.0,0.18078536250463667,0.351192569923401,0.36083105807596977,0.38716665129092176,0.5274431061781996,0.21094773624602428,0.3018042762119673,0.34999797661452337,0.35469877611616407,0.5166042784078108,0.44536137419174165,0.31609705962385337,0.2601505094626148,0.3151009163686398,0.5002238626735904,0.3557503805115927,0.3530276523869973,0.1781247946386208,0.2043608871481909,0.4604360683377447,0.30560441036340774,0.2840133900853544,0.2788992624999042,0.17185176592324447,0.4364702714133321,-0.029843353617338534
Q1_5,0.22748227737157273,0.21468284684323438,0.19169591965679394,0.18078536250463667,1.0,0.16456674154719603,0.19689006103738596,0.19343267848385803,0.12978972337183525,0.4651224596121117,0.22966015607561016,0.18725428825257723,0.1599459330383418,0.19214439468093586,0.24159608715338513,0.12283865344492419,0.15295744519938526,0.11919376986155775,0.1703134065117975,0.2739412007077601,0.10809300424961499,0.025785871477151064,0.10675778842187299,0.14907392097086605,0.2579936500812701,0.1379347500579355,0.1935863367963885,0.04796071203237983,0.11522621512354238,-0.04831671975448897
Q1_6,0.6158898596726778,0.4472041382752362,0.364901813067116,0.351192569923401,0.16456674154719603,1.0,0.40339806958869856,0.4524048527489728,0.49808866094392773,0.26646503326708154,0.558180081582228,0.391129230579488,0.35629075228076273,0.4470535432347049,0.3782832499206486,0.3502015560588265,0.33520081292855686,0.43243373642473026,0.44887898846917135,0.3602297440222712,0.4021213966048542,0.2671309640608563,0.40144739203080115,0.3576114314159318,0.34527997276097044,0.4670957919813108,0.397800591668678,0.2154480384524544,0.4327395940044037,0.05373396152576384
Q1_7,0.2882612698973425,0.5404585410474744,0.36298638253370885,0.36083105807596977,0.19689006103738596,0.40339806958869856,1.0,0.4653585285167785,0.46210538144083735,0.3422615889951086,0.36150022721151004,0.333426050143244,0.4926623832850381,0.40991584084733657,0.25280970335567565,0.4345032892352065,0.3164501547503301,0.5160629603538229,0.362488320018376,0.3668063643688582,0.44447759779825347,0.2593299544469657,0.43305001894923634,0.43916079987885304,0.3053201809906017,0.34242892451964,0.42990936877803504,0.25596541595433453,0.3265646007440432,0.15647330534444723
Q1_8,0.35134782307083623,0.37639908028565894,0.6252518185333541,0.38716665129092176,0.19343267848385803,0.4524048527489728,0.4653585285167785,1.0,0.46221306037141924,0.30864285451394996,0.3835780036743731,0.3638539409861874,0.4293019992620046,0.40976507651964256,0.3842475666322294,0.3671745870137472,0.3909584152706568,0.6125338777918912,0.4529921573292524,0.487902468102746,0.4169813037524407,0.25051446250048276,0.4490895992764661,0.40915814862409977,0.34855734893546175,0.36772496109895664,0.4362841983935405,0.2831159088448396,0.4206445873755837,0.019766983201947568
Q1_9,0.43998813898697214,0.4706191851635507,0.40633171213456415,0.5274431061781996,0.12978972337183525,0.49808866094392773,0.46210538144083735,0.46221306037141924,1.0,0.3007022329979194,0.4380779601337797,0.41453251923787443,0.49032044763728644,0.5498323083732894,0.3868833837516721,0.42720385230138197,0.36078805117742163,0.44871444605852157,0.5602554188940732,0.3521756274424781,0.41433111082496576,0.3119068292322058,0.3535700376802305,0.41761443503139795,0.2725480274490321,0.4320835916074253,0.3487999995446625,0.24593683288498291,0.4302264429479709,-0.05219386441256626
Q1_10,0.19827274344623164,0.30099002386623364,0.25887531770974115,0.21094773624602428,0.4651224596121117,0.26646503326708154,0.3422615889951086,0.30864285451394996,0.3007022329979194,1.0,0.2482463569408844,0.3201753560727574,0.3072462210340879,0.32416747103769317,0.3821277387442456,0.2166544966816589,0.2945110294112374,0.3265652767184481,0.2727999981970357,0.3687823783074259,0.21919641395171377,0.17762128876072836,0.2634008549713555,0.19031955508196668,0.29388774311862303,0.26802790681110894,0.3405162545348546,0.1962086201870024,0.2152230441951891,-0.06715575584401122
Q1_11,0.5628410811472345,0.27549949643699956,0.3063844573007762,0.3018042762119673,0.22966015607561016,0.558180081582228,0.36150022721151004,0.3835780036743731,0.4380779601337797,0.2482463569408844,1.0,0.2839586972136121,0.4099316863765187,0.406483438575035,0.28466597504294683,0.4179358086297274,0.23938916659098303,0.33972621690079047,0.44394011455043736,0.27510471192824754,0.3869850148838778,0.2097610198270598,0.34338114026954186,0.391905003696691,0.2874506130648677,0.4074837041065796,0.2811622150765395,0.20968150236585936,0.4277122355902407,0.01942917789731526
Q1_12,0.33243113242865313,0.4188924349085473,0.3498079956939646,0.34999797661452337,0.18725428825257723,0.391129230579488,0.333426050143244,0.3638539409861874,0.41453251923787443,0.3201753560727574,0.2839586972136121,1.0,0.40011303445327195,0.4100205741265921,0.3890405866443151,0.3222083427587447,0.5725969381090116,0.3482237750711231,0.36845745210696135,0.32508489450320455,0.3967583771338938,0.37389607006248654,0.3578952586988039,0.2959264009954109,0.28572787181594717,0.24901476370611203,0.7177551274438788,0.20465719736073054,0.2448482759920214,0.03112668295454821
Q1_13,0.33810781015496943,0.44576045837718836,0.3838543149399143,0.35469877611616407,0.1599459330383418,0.35629075228076273,0.4926623832850381,0.4293019992620046,0.49032044763728644,0.3072462210340879,0.4099316863765187,0.40011303445327195,1.0,0.5610126644017898,0.39408955563392845,0.4692050137189257,0.3374613625784421,0.5069237573678357,0.43902747612829296,0.3518314018258425,0.47511758826283235,0.2719816847572369,0.5398408160317268,0.4362303552303269,0.29970797640694086,0.3431642430052486,0.4438830771290709,0.31982924719133893,0.3947426850018933,0.1016043809838795
Q1_14,0.3293389702981898,0.45269902874238216,0.3340452975353013,0.5166042784078108,0.19214439468093586,0.4470535432347049,0.40991584084733657,0.40976507651964256,0.5498323083732894,0.32416747103769317,0.406483438575035,0.4100205741265921,0.5610126644017898,1.0,0.5582715085806316,0.35711509654834744,0.3369825177588454,0.4265809692974353,0.5022117144054868,0.35647717207798446,0.4174574230733129,0.24077562102254155,0.28766210426581046,0.4255743215233025,0.3431095539997595,0.38049865932846333,0.37638296525421433,0.33560548845896215,0.4852330160555187,-0.023025186170779727
Q1_15,0.233939973354511,0.3266335664079085,0.3898731696842696,0.44536137419174165,0.24159608715338513,0.3782832499206486,0.25280970335567565,0.3842475666322294,0.3868833837516721,0.3821277387442456,0.28466597504294683,0.3890405866443151,0.39408955563392845,0.5582715085806316,1.0,0.32031188705188923,0.39886322084864784,0.4278876682696702,0.43685628870003845,0.5465475784141118,0.37482870626757586,0.2359521447062769,0.37785826183630966,0.34316176244109203,0.3107382473056171,0.4236094751124731,0.376227301912767,0.3088533026921181,0.36629513601273794,0.003345219964573749
Q1_16,0.4291882027171754,0.3713262510078389,0.3795231754855776,0.31609705962385337,0.12283865344492419,0.3502015560588265,0.4345032892352065,0.3671745870137472,0.42720385230138197,0.2166544966816589,0.4179358086297274,0.3222083427587447,0.4692050137189257,0.35711509654834744,0.32031188705188923,1.0,0.27665661827779775,0.3613828594884007,0.3715970667984875,0.32248755293540043,0.522780067928154,0.2682131746776565,0.38649791692752855,0.40618988451985943,0.2775337465327914,0.3805918029473243,0.36416063442154756,0.22850209487961726,0.34314393175973806,-0.011229631698924908
Q1_17,0.28026263420474845,0.3606053101702314,0.31083982570914126,0.2601505094626148,0.15295744519938526,0.33520081292855686,0.3164501547503301,0.3909584152706568,0.36078805117742163,0.2945110294112374,0.23938916659098303,0.5725969381090116,0.3374613625784421,0.3369825177588454,0.39886322084864784,0.27665661827779775,1.0,0.4124754790635813,0.3458123410293383,0.3117178509616451,0.402700359904123,0.3646804358853129,0.39247183213615255,0.3057525021385474,0.2494208202948291,0.30223004486081306,0.5168269050679092,0.19727291343908182,0.21932415415247894,0.006531204046124774
Q1_18,0.35126258342519573,0.3941248705088899,0.5117201220241702,0.3151009163686398,0.11919376986155775,0.43243373642473026,0.5160629603538229,0.6125338777918912,0.44871444605852157,0.3265652767184481,0.33972621690079047,0.3482237750711231,0.5069237573678357,0.4265809692974353,0.4278876682696702,0.3613828594884007,0.4124754790635813,1.0,0.4658504189946665,0.4731603198414251,0.44481540692362076,0.32327748276586354,0.5989709435183443,0.47337747376599243,0.36390487597699805,0.44000753588856956,0.4163450118874717,0.286811049526316,0.3898454618684388,0.024697808922875746
Q1_19,0.38211601438857556,0.28388472957719857,0.3505302497494025,0.5002238626735904,0.1703134065117975,0.44887898846917135,0.362488320018376,0.4529921573292524,0.5602554188940732,0.2727999981970357,0.44394011455043736,0.36845745210696135,0.43902747612829296,0.5022117144054868,0.43685628870003845,0.3715970667984875,0.3458123410293383,0.4658504189946665,1.0,0.4442236095899963,0.4206809571918208,0.2579058173779478,0.3919145732094927,0.5218786959179511,0.33560595304793356,0.3796600232839925,0.3711814286321826,0.2235744146280705,0.4499321500438691,-0.06869968474824427
Q1_20,0.28681016416053373,0.29044328906072087,0.43887481727780087,0.3557503805115927,0.2739412007077601,0.3602297440222712,0.3668063643688582,0.487902468102746,0.3521756274424781,0.3687823783074259,0.27510471192824754,0.32508489450320455,0.3518314018258425,0.35647717207798446,0.5465475784141118,0.32248755293540043,0.3117178509616451,0.4731603198414251,0.4442236095899963,1.0,0.4203862546871048,0.2495602249330349,0.41854053964943716,0.3528485984683296,0.35435989805876494,0.34089414376432947,0.3807823266312205,0.3123582557593336,0.30655541128116265,-0.08831047172616799
Q1_21,0.34662034511206136,0.3927295733369507,0.35919078175894986,0.3530276523869973,0.10809300424961499,0.4021213966048542,0.44447759779825347,0.4169813037524407,0.41433111082496576,0.21919641395171377,0.3869850148838778,0.3967583771338938,0.47511758826283235,0.4174574230733129,0.37482870626757586,0.522780067928154,0.402700359904123,0.44481540692362076,0.4206809571918208,0.4203862546871048,1.0,0.3036543684901103,0.4899444269905713,0.45952739902143364,0.27053019280836466,0.40203024233544393,0.4419547837734627,0.3007079107006393,0.4207979720577594,0.0476733015778239
Q1_22,0.24949804147401805,0.2500782068649856,0.2246719296089586,0.1781247946386208,0.025785871477151064,0.2671309640608563,0.2593299544469657,0.25051446250048276,0.3119068292322058,0.17762128876072836,0.2097610198270598,0.37389607006248654,0.2719816847572369,0.24077562102254155,0.2359521447062769,0.2682131746776565,0.3646804358853129,0.32327748276586354,0.2579058173779478,0.2495602249330349,0.3036543684901103,1.0,0.3989101664381432,0.2471437027889255,0.1801699659446079,0.37363275372323485,0.3692879337720318,0.28407315056936294,0.1475361906006696,-0.03543734603581894
Q1_23,0.35295025505238103,0.347169691497304,0.410379453827595,0.2043608871481909,0.10675778842187299,0.40144739203080115,0.43305001894923634,0.4490895992764661,0.3535700376802305,0.2634008549713555,0.34338114026954186,0.3578952586988039,0.5398408160317268,0.28766210426581046,0.37785826183630966,0.38649791692752855,0.39247183213615255,0.5989709435183443,0.3919145732094927,0.41854053964943716,0.4899444269905713,0.3989101664381432,1.0,0.43443177696833457,0.29094889288517534,0.37697043560814936,0.44282584648253176,0.33001600251453006,0.2970251409934667,0.08522026667225971
Q1_24,0.3421155172941483,0.26142957589597127,0.3328444713431048,0.4604360683377447,0.14907392097086605,0.3576114314159318,0.43916079987885304,0.40915814862409977,0.41761443503139795,0.19031955508196668,0.391905003696691,0.2959264009954109,0.4362303552303269,0.4255743215233025,0.34316176244109203,0.40618988451985943,0.3057525021385474,0.47337747376599243,0.5218786959179511,0.3528485984683296,0.45952739902143364,0.2471437027889255,0.43443177696833457,1.0,0.30191560973942294,0.35765962462304385,0.3215352426320135,0.25609165814707946,0.46154260765404,-0.007608745805228538
Q1_25,0.20897515733985228,0.2535703053070717,0.24955163838941197,0.30560441036340774,0.2579936500812701,0.34527997276097044,0.3053201809906017,0.34855734893546175,0.2725480274490321,0.29388774311862303,0.2874506130648677,0.28572787181594717,0.29970797640694086,0.3431095539997595,0.3107382473056171,0.2775337465327914,0.2494208202948291,0.36390487597699805,0.33560595304793356,0.35435989805876494,0.27053019280836466,0.1801699659446079,0.29094889288517534,0.30191560973942294,1.0,0.39553629367982523,0.3246538407359669,0.25718971660903056,0.2530110769426182,0.012630695384806198
Q1_26,0.35568523910276745,0.33670202795863324,0.370117650088347,0.2840133900853544,0.1379347500579355,0.4670957919813108,0.34242892451964,0.36772496109895664,0.4320835916074253,0.26802790681110894,0.4074837041065796,0.24901476370611203,0.3431642430052486,0.38049865932846333,0.4236094751124731,0.3805918029473243,0.30223004486081306,0.44000753588856956,0.3796600232839925,0.34089414376432947,0.40203024233544393,0.37363275372323485,0.37697043560814936,0.35765962462304385,0.39553629367982523,1.0,0.32145689548273426,0.2892542136066576,0.43777216338407265,-0.004954831201489686
Q1_27,0.3037083258191723,0.37156541343209476,0.35699296430211735,0.2788992624999042,0.1935863367963885,0.397800591668678,0.42990936877803504,0.4362841983935405,0.3487999995446625,0.3405162545348546,0.2811622150765395,0.7177551274438788,0.4438830771290709,0.37638296525421433,0.376227301912767,0.36416063442154756,0.5168269050679092,0.4163450118874717,0.3711814286321826,0.3807823266312205,0.4419547837734627,0.3692879337720318,0.44282584648253176,0.3215352426320135,0.3246538407359669,0.32145689548273426,1.0,0.2835023351369601,0.30493688946961034,0.1681252490229395
Q1_28,0.15510741698350686,0.23722714475910298,0.26381256766115163,0.17185176592324447,0.04796071203237983,0.2154480384524544,0.25596541595433453,0.2831159088448396,0.24593683288498291,0.1962086201870024,0.20968150236585936,0.20465719736073054,0.31982924719133893,0.33560548845896215,0.3088533026921181,0.22850209487961726,0.19727291343908182,0.286811049526316,0.2235744146280705,0.3123582557593336,0.3007079107006393,0.28407315056936294,0.33001600251453006,0.25609165814707946,0.25718971660903056,0.2892542136066576,0.2835023351369601,1.0,0.29185339724594095,-0.005610517296957565
Q1_29,0.325435438664303,0.33797645921218605,0.3404794761963372,0.4364702714133321,0.11522621512354238,0.4327395940044037,0.3265646007440432,0.4206445873755837,0.4302264429479709,0.2152230441951891,0.4277122355902407,0.2448482759920214,0.3947426850018933,0.4852330160555187,0.36629513601273794,0.34314393175973806,0.21932415415247894,0.3898454618684388,0.4499321500438691,0.30655541128116265,0.4207979720577594,0.1475361906006696,0.2970251409934667,0.46154260765404,0.2530110769426182,0.43777216338407265,0.30493688946961034,0.29185339724594095,1.0,-0.01110800449334887
Q1_30,-0.012754209982223551,-0.00035104060918356026,-0.06351493259422505,-0.029843353617338534,-0.04831671975448897,0.05373396152576384,0.15647330534444723,0.019766983201947568,-0.05219386441256626,-0.06715575584401122,0.01942917789731526,0.03112668295454821,0.1016043809838795,-0.023025186170779727,0.003345219964573749,-0.011229631698924908,0.006531204046124774,0.024697808922875746,-0.06869968474824427,-0.08831047172616799,0.0476733015778239,-0.03543734603581894,0.08522026667225971,-0.007608745805228538,0.012630695384806198,-0.004954831201489686,0.1681252490229395,-0.005610517296957565,-0.01110800449334887,1.0
